Medicine Name,Uses,
Happi-IT Capsule PR, Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease,
Halox S Lotion, Eczema Psoriasis,
Hepalair  150 mg/100 mg Tablet,Treatment of Indigestion,
HYQ 400 Tablet,Treatment of Rheumatoid arthritisTreatment of Systemic lupus erythematosus (SLE)Treatment of Type 2 diabetes mellitus,
Hhcefi 200 Tablet,Treatment of Bacterial infections,
Herperax 400 Tablet, Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,
HH Sone Cream,Treatment of Skin conditions with inflammation & itching,
HH Linctus-Ex Expectorant,Treatment of Cough with mucus,
Herpival 1000mg Tablet, Herpes labialis Genital herpes infection Herpes zoster,
Hopace 2.5 Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,
HH Linctus Junior Syrup Alcohol Free,Treatment of Dry cough,
HH Salic Lotion, Eczema Psoriasis,
Hatric Syrup,Treatment of Allergic conditions,
Hatric 2 Syrup,Treatment of Common cold,
Halobet Cream, Skin conditions with inflammation & itching,
Hifenac TH8 Tablet,Treatment of Pain due to muscle spasm,
Hald SR 300 Tablet, Hormone replacement therapyTreatment of Female infertility,
Hqtor Tablet,Treatment of Rheumatoid arthritisTreatment of Systemic lupus erythematosus (SLE)Treatment of Type 2 diabetes mellitus,
Halobet S Ointment, Eczema Psoriasis,
HHlevo-M Kid Suspension,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions,
Hytrin 1 Tablet, Hypertension (high blood pressure),
Halox ES Ointment, Eczema Psoriasis,
Hhmus 0.1% Ointment,Treatment of Atopic dermatitis,
Hhfexo M 10mg/120mg Tablet,Treatment of Sneezing and runny nose due to allergies,
Hyde Cream, Melasma,
Halotop-S Lotion, Eczema Psoriasis,
HUCOG 2000 HP Injection,Treatment of Female infertilityTreatment of Male hypogonadism,
Hadensa Ointment,Treatment of Piles,
Humog 75 HP Injection, Female infertility Male hypogonadism Male infertility,
HH Sone Lotion,Treatment of Skin conditions with inflammation & itching,
Hairizer Hair Growth Treatment,Treatment of Hair loss,
Halonext-S Ointment, Eczema Psoriasis,
Hizet 10mg Tablet,Treatment of AnxietyTreatment of Skin conditions with inflammation & itching,
Halosys -S Ointment, Eczema Psoriasis,
Hydrazide 12.5 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Edema,
Huminsulin  30/70 Suspension for Injection 100IU/ml, Diabetes,
Honvan Tablet, Prostate cancer,
Hymoist Eye Drop,Treatment of Dry eyes,
Heximar-B Ointment, Psoriasis,
Hipress 50 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack,
Herperax 800 Tablet, Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,
Hatric 3 Drops,Treatment of Common cold,
Herpex 200mg Tablet, Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,
Hairmax Forte Solution,Treatment of Hair loss,
Heparid Syrup, Chronic liver disease Liver cirrhosis,
Hipres 25 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack,
Humalog Mix 25 Kwikpen 100IU/ml, Diabetes,
Hydrazide 25 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Edema,
Huminsulin N 40IU/ml Injection, Diabetes,
Hepagard  Granules,Treatment of Liver  disease,
Huminsulin R 100IU/ml Solution for Injection, Diabetes,
Huminsulin  50/50 Suspension for Injection 40IU/ml, Diabetes,
Halovate Lotion, Skin conditions with inflammation & itching,
Halotop Lotion, Skin conditions with inflammation & itching,
Hhfexo 120mg Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions,
Haloderm Cream, Skin conditions with inflammation & itching,
Hydroeyes HS Eye Drop, Dry eyes,
Hirudal Cream, Thrombophlebitis,
Heximar Ointment, Psoriasis,
Histakem 180mg Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions,
Hydrogem 500mg Capsule, Head and neck cancer Sickle cell anemia,
Hylogel Gel, Wrinkles,
Happi 40 Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,
Halonova S Ointment, Eczema Psoriasis,
Hemsyl Cvp Tablet, Bleeding,
Hytrin 2 Tablet, Hypertension (high blood pressure),
Hosit-L Tablet,Treatment of Nutritional deficiencies,
Hepabsv 100IU Injection, Prevention of Hepatitis B infection,
HH Salic 6 Ointment, Eczema Psoriasis,
Hep Lock Solution,Prevention of Blood clots,
Humstard 30/70 Injection 40IU/ml, Diabetes,
Herpikind 200 Tablet DT, Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,
Hexilak Gel, Burns Stretch Marks,
Hilin 50 Capsule, Osteoarthritis,
Hopace-MT 50 Tablet ER, Hypertension (high blood pressure),
HHCepo 100mg Dry Syrup,Treatment of Bacterial infections,
Hylo Grev Eye Drop,Treatment of Dry eyes,
Halox S Ointment, Eczema Psoriasis,
Hyphoral Tablet, Fungal infections,
Hyrax 10mg Syrup,Treatment of AnxietyTreatment of Skin conditions with inflammation & itching,
Hycort 100mg Injection, Severe allergic reactionsTreatment of Allergic conditionsTreatment of CancerTreatment of Skin disordersTreatment of Eye disorders,
Halonova Cream, Skin conditions with inflammation & itching,
Hatric 2 Oral Drops,Treatment of Common cold,
HH Salic Ointment, Eczema Psoriasis,
Humog 150 Injection, Female infertility Male hypogonadism Male infertility,
Hhamclav Dry Syrup,Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections,
Hylowell Eye Drop,Treatment of Dry eyes,
Hista 3G Tablet,Treatment of Sneezing and runny nose due to allergies,
Humalog Mix 50 Kwikpen 100IU/ml, Diabetes,
Hylumax Eye Drop,Treatment of Dry eyes,
Helirab 20 Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,
Hicet Syrup,Treatment of Allergic conditions,
Halosys-S Lotion, Eczema Psoriasis,
Hi-D3 60K Capsule,Treatment of Vitamin D deficiencyTreatment of Osteoporosis,
Hexidine -EP Mouth Wash,Treatment of Mouth infection,
Hepexa 300 Tablet,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones,
Hifenac Gel, Pain relief,
Hopace 1.25 Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,
Hepasil 140mg Tablet, Chronic liver disease Liver cirrhosis,
Hytel 40mg Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,
Huminsulin N 100IU/ml Cartridge, Diabetes,
Hisone 20mg Tablet, Severe allergic reactionsTreatment of Allergic conditionsTreatment of CancerTreatment of Skin disordersTreatment of Eye disorders,
Haloderm S Ointment, Eczema Psoriasis,
Hald SR 400 Tablet, Hormone replacement therapyTreatment of Female infertility,
Hyaluron 200mg Tablet, Osteoarthritis,
Haloderm Cream, Skin conditions with inflammation & itching,
Habiccor Ointment, Skin conditions with inflammation & itching,
Hqtor 400 Tablet,Treatment of Rheumatoid arthritisTreatment of Systemic lupus erythematosus (SLE)Treatment of Type 2 diabetes mellitus,
Hairlife 5% Solution,Treatment of Hair loss,
Hepcinat Tablet, Chronic hepatitis C virus (HCV) infection,
Humalog 200IU/ml Kwikpen,Treatment of Diabetes,
HHlevo-M Kid Tablet DT,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions,
Habiccor Ointment, Skin conditions with inflammation & itching,
Hep 25 Injection,Prevention of Blood clots,
Hypig Cream, Melasma,
Halobet Cream, Skin conditions with inflammation & itching,
Hopace-H 5 Capsule, Hypertension (high blood pressure),
Hipril A Tablet, Hypertension (high blood pressure),
Hairjoy 2% Solution, Hair loss,
Happicid Oral Gel Ice Mint Sugar Free,Treatment of AcidityTreatment of Stomach ulcersTreatment of Bloating,
Halofast S Ointment, Eczema Psoriasis,
Hicet-AX Tablet SR,Treatment of Cough,
Hysoft Moisturizing Cream,Treatment of Eczema Severe allergic reactionsTreatment of Allergic conditionsTreatment of CancerTreatment of Skin disordersTreatment of Eye disorders,
Hemocit-P Tablet, Stroke,
Halonext 0.05% Lotion, Skin conditions with inflammation & itching,
Halomesh Cream, Skin conditions with inflammation & itching,
H-One Cream, Melasma,
Halostrol S 6% Ointment, Eczema Psoriasis,
Histacross L 10mg Tablet,Treatment of Allergic conditions,
Hep Grow Tablet,Treatment of Liver  disease,
Hicool PF Eye Gel, Dry eyes,
Hmet Trio 2mg/500mg/0.3mg Tablet,Treatment of Type 2 diabetes mellitus,
Hopecard 5 Capsule,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,
Hexab Emulsion, Scabies,
Hopecard 2.5 Capsule,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,
Hivus-LR 50mg/200mg Tablet, HIV infection,
Hyde Solution, Melasma,
H-Quine Tablet,Treatment of Rheumatoid arthritisTreatment of Systemic lupus erythematosus (SLE)Treatment of Type 2 diabetes mellitus,
Hical Suspension,Treatment and prevention of Calcium deficiency,
Hexolip 500 Tablet, Peripheral vascular disease,
Histaban 5mg Tablet,Treatment of Allergic conditions,
HMET-Forte Tablet SR,Treatment of Type 2 diabetes mellitus,
Hypig 15 Cream, Melasma,
Hairshine Ktz Soap,Treatment of Fungal skin infectionsTreatment of Dandruff,
Hairouse-MX 2% Solution,Treatment of Hair loss,
Hare 10 Spray,Treatment of Hair loss,
Hopecard-H 5/12.5 Capsule, Hypertension (high blood pressure),
Hibesor 50mg Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack,
Heptilose Oral Solution,Treatment of ConstipationTreatment of Hepatic encephalopathy,
Imatib 100 Tablet,Treatment of Cancer,
IPCA MMF 500 Tablet, Prevention of organ rejection in transplant patients,
Inderal LA 20 Tablet SR,Treatment of PheochromocytomaTreatment of Hypertension (high blood pressure) Prevention of migraineTreatment of AnxietyTreatment of ArrhythmiaPrevention of Heart attackPrevention of Angina (heart-related chest pain)Treatment of Tremors,
Imdur 30mg Tablet PR,Prevention of Angina (heart-related chest pain),
Istavel 100mg Tablet,Treatment of Type 2 diabetes mellitus,
Inderal 40 Tablet,Treatment of PheochromocytomaTreatment of Hypertension (high blood pressure) Prevention of migraineTreatment of AnxietyTreatment of ArrhythmiaPrevention of Heart attackPrevention of Angina (heart-related chest pain)Treatment of Tremors,
ITR Plus Eye Drop,Treatment of Dry eyes,
Idrofos 150 Tablet,Treatment and prevention of postmenopausal Osteoporosis,
Indocap Capsule, Pain relief,
Istamet 50mg/1000mg Tablet,Treatment of Type 2 diabetes mellitus,
Igurati 25mg Tablet,Treatment of Rheumatoid arthritis,
IT-Mac 100 Capsule,Treatment of Fungal infections,
Intacoxia 90 Tablet, Pain relief,
Ivoral Forte Tablet,Treatment of Worm infections,
Indclav 625 Tablet,Treatment of Bacterial infections,
Inderal 20mg Tablet,Treatment of PheochromocytomaTreatment of Hypertension (high blood pressure) Prevention of migraineTreatment of AnxietyTreatment of ArrhythmiaPrevention of Heart attackPrevention of Angina (heart-related chest pain)Treatment of Tremors,
Intimacy Plus 2 Tablet, Contraception,
Itralase 100 Capsule,Treatment of Fungal infections,
Istavel 50mg Tablet,Treatment of Type 2 diabetes mellitus,
Iotim Eye Drop, Glaucoma Ocular hypertension,
Isordil 5 Sublingual tablet,Prevention of Angina (heart-related chest pain),
Inderal LA 40 Tablet SR,Treatment of PheochromocytomaTreatment of Hypertension (high blood pressure) Prevention of migraineTreatment of AnxietyTreatment of ArrhythmiaPrevention of Heart attackPrevention of Angina (heart-related chest pain)Treatment of Tremors,
Invokana  100mg Tablet,Treatment of Type 2 diabetes mellitus,
Isolazine Tablet,Treatment of Heart failure,
Imiquad Cream (0.25gm Each), Genital warts (Skin bumps on or around the genital or anal area) Actinic keratosis Basal cell cancer,
Isryl-M2 Tablet SR,Treatment of Type 2 diabetes mellitus,
Intacoxia MR 60mg/4mg Tablet,Treatment of Pain due to muscle spasm,
Ivepred 4 Tablet,Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,
Isryl-M1 Tablet SR,Treatment of Type 2 diabetes mellitus,
Ipravent Respules 2ml,Treatment of Chronic obstructive pulmonary disease (COPD),
Inapure 5 Tablet,Treatment of Angina (heart-related chest pain)Treatment of Heart failure,
Intaglip-M Tablet,Treatment of Type 2 diabetes mellitus,
Itromed 200 Capsule,Treatment of Fungal infections,
Ismo 20 Tablet,Prevention of Angina (heart-related chest pain),
Isofer Injection, Iron deficiency anemia,
Imidil Cream,Treatment of Fungal skin infections,
Ivabid 5 Tablet,Treatment of Angina (heart-related chest pain)Treatment of Heart failure,
Itaspor 200 Capsule,Treatment of Fungal infections,
Ivepred 8 Tablet,Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,
Incid-L Tablet,Treatment of Allergic conditions,
Inderal F 10 Tablet SR,Prevention of Migraine,
Imxia 5 Solution,Treatment of Hair loss,
Irban 5mg Tablet,Treatment of Angina (heart-related chest pain)Treatment of Heart failure,
Idrofos Kit, Osteoporosis,
Ibugesic ASP Tablet, Pain relief,
Immunorel 5gm Solution for Infusion,Prevention of Infections,
Imol Suspension, Pain reliefTreatment of Fever,
Itaspor-SB Capsule,Treatment of Fungal infections,
I Soft Ophthalmic Solution,Treatment of Dry eyes,
Impulog Tablet,Treatment of Chronic kidney disease,
I-Dew DS Aquagel,Treatment of Dry eyes,
Ivrea 1 Cream, RosaceaTreatment of Parasitic infections,
Imograf Forte Ointment,Treatment of Atopic dermatitis,
Ivepred 16 Tablet,Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,
Instaflex P Tablet SR, Pain relief Fever,
Itrasys 100 Capsule,Treatment of Fungal infections,
Inhalex Respules,Treatment of Respiratory tract disorders associated with viscid mucus,
Isordil 10 Tablet,Prevention of Angina (heart-related chest pain)Controlling Heart failure,
Ivanode 5 Tablet,Treatment of Angina (heart-related chest pain)Treatment of Heart failure,
Intalith CR 450 Tablet, Mania Bipolar disorder,
Itrostred 200 Capsule,Treatment of Fungal infections,
Insugen-R 40IU/ml Solution for Injection, Diabetes,
Inzit 4 Tablet, Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),
Itromed 100 Capsule,Treatment of Fungal infections,
Iobet Eye Drop, Glaucoma Ocular hypertension,
Involym Capsule, Bacterial infections,
Ipravent Respirator Solution,Treatment of Chronic obstructive pulmonary disease (COPD),
Ilapro 10 Tablet, Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease,
Imdur 60mg Tablet PR,Prevention of Angina (heart-related chest pain),
IF 2 Eye Drop,Treatment of Allergic conditions,
Intimacy Plus 0.03 mg/0.15 mg Tablet, Contraception,
Ivamac 5 Tablet,Treatment of Angina (heart-related chest pain)Treatment of Heart failure,
I-Win 100 Capsule,Treatment of Fungal infections,
Itzhh 200 Capsule,Treatment of Fungal infections,
Intacept 50mg Injection, Ankylosing spondylitis Rheumatoid arthritis Psoriasis Ulcerative colitis Crohn’s disease,
I-Dew Soothe Eye Drop,Treatment of Dry eyes,
Itrop Plus  Eye Drop, Eye examination,
Isonorm 30 SR Tablet,Prevention of Angina (heart-related chest pain),
Itradila 200 Capsule,Treatment of Fungal infections,
Imidil-C Vaginal Suppository, Syndromic treatment of vaginal discharge,
Ifin 250mg Tablet, Fungal infections,
Ifin 500 Tablet, Fungal infections,
I-Win 200 Capsule,Treatment of Fungal infections,
Itrafix 200 Capsule,Treatment of Fungal infections,
Intacoxia 120 Tablet, Pain relief,
Ismo Retard Tablet ER,Prevention of Angina (heart-related chest pain),
Infen P Tablet, Pain relief Fever,
Insugen 30/70 100IU Refil Cartridge, Diabetes,
Itratuf Oral Solution,Treatment of Fungal infections,
Immulina Liquid, Diseases of respiratory tract,
Ilevro Ophthalmic Suspension,Treatment of Post-operative eye pain and inflammation,
Isolin 2mg Injection,Treatment of BradycardiaTreatment of Cardiac arrest,
Isoin 20 Capsule,Treatment of Acne,
Imat 400 Tablet,Treatment of Cancer,
Insugen-R 100IU/ml Refil, Diabetes,
Iminoral 100 Capsule, Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome,
Isotroin 5 Capsule,Treatment of Acne,
Intasporin Powder, Bacterial skin infections,
Ivabeat 5 Tablet,Treatment of Angina (heart-related chest pain)Treatment of Heart failure,
Ivecop 12 Tablet,Treatment of Parasitic infections,
Inditel 40 Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,
Intacoxia 60mg Tablet, Pain relief,
Irivisc DS Eye Drop,Treatment of Dry eyes,
Inderal F 5 Tablet SR,Prevention of Migraine,
Itragreat 100 Capsule,Treatment of Fungal infections,
Inramed 5 Tablet,Treatment of Low blood pressure,
Izra- D40 Capsule SR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia,
Itrazole 100 Capsule,Treatment of Fungal infections,
Itromed 200 Capsule,Treatment of Fungal infections,
Insuman Rapid 100IU/ml Solution for Injection, Diabetes,
Itrason 200 Capsule,Treatment of Fungal infections,
Imacin-SR 75 Capsule, Pain relief,
I-Tyza Capsule,Treatment of Fungal infections,
Itragreat 200 Capsule,Treatment of Fungal infections,
Irimist Ophthalmic Solution, Dry eyes,
Immutil-S 360 Tablet DR, Prevention of organ rejection in transplant patients,
Intacoxia P 60mg/325mg Tablet, Pain relief,
Isotane 20 Capsule,Treatment of Acne,
Iotim Plus Eye Drop,Treatment of GlaucomaTreatment of Ocular hypertension,
Insugen 50/50 Injection 100IU/ml, Diabetes,
Infinair 10/5mg Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions,
Immutil Tablet, Prevention of organ rejection in transplant patients,
Inosert 50 Tablet,Treatment of DepressionTreatment of Post traumatic stress disorderTreatment of Obsessive-compulsive disorderTreatment of Panic disorderTreatment of Premenstrual dysphoric disorderTreatment of AnxietyTreatment of Premenstrual syndrome (PMS),
Insuman Comb 25 Injection, Diabetes,
Ivabrad 7.5 Tablet,Treatment of Angina (heart-related chest pain)Treatment of Heart failure,
Insuman Comb 25 Injection, Diabetes,
Iotim B Ophthalmic Solution,Treatment of Ocular hypertensionTreatment of Glaucoma,
Irovel 150 Tablet, Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke,
Insugen 30/70 Solution for Injection 40IU/ml, Diabetes,
Irovel H Tablet, Hypertension (high blood pressure),
ITRAGEN 200MG CAPSULE,Treatment of Fungal infections,
Iladac 10 Tablet, Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease,
Inzit 8 Tablet, Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),
Itaspor Capsule,Treatment of Fungal infections,
Imograf Forte Ointment,Treatment of Atopic dermatitis,
Intalfa 3miu Injection, Chronic hepatitis B virus (HBV) infection Chronic hepatitis C virus (HCV) infection Multiple myeloma Follicular lymphoma Hairy cell leukemia,
Ibuflamar-P 400mg/325mg Tablet, Pain reliefTreatment of Fever,
Inditel AM Tablet,Treatment of Hypertension (high blood pressure),
Immulina 800 Tablet, Diseases of respiratory tract,
Iban Plus Tablet,Treatment and prevention of postmenopausal Osteoporosis,
Isoin 10 Capsule,Treatment of Acne,
Involym Capsule, Bacterial infections,
Inmecin P 25mg/325mg Capsule, Pain relief,
Isotroin 30 Capsule,Treatment of Acne,
Innomune Tablet, Prevention of organ rejection in transplant patientsTreatment of Rheumatoid arthritis,
Istaphase MG 2 Tablet PR,Treatment of Type 2 diabetes mellitus,
Inmecin 50mg Capsule, Pain relief,
I Nem 500mg/500mg Injection, Severe bacterial infections,
Isryl 1 Tablet,Treatment of Type 2 diabetes mellitus,
Insugen-N 40IU/ml Injection, Diabetes,
Ibucon Plus Suspension, Pain reliefTreatment of Fever,
Iminoral 50 Capsule, Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome,
Immulina 400 Tablet, Diseases of respiratory tract,
Isryl 2 Tablet,Treatment of Type 2 diabetes mellitus,
Incid-MD Tablet,Treatment of Allergic conditions,
Itrasys CF 100 Capsule,Treatment of Fungal infections,
Itzhh Capsule,Treatment of Fungal infections,
Irimist Gel, Dry eyes,
Iobrim Eye Drop, Ocular hypertension Glaucoma,
IDEBEST 45MG TABLET,Treatment of Friedreich's ataxiaTreatment of Leber’s Hereditary Optic Neuropathy,
Ivf M  150IU Injection, Female infertility Male hypogonadism Male infertility,
Imxia 10% Solution,Treatment of Hair loss,
Itraclar 100mg Capsule,Treatment of Fungal infections,
Intacept 25 Solution for Injection, Ankylosing spondylitis Rheumatoid arthritis Psoriasis Ulcerative colitis Crohn’s disease,
Inac 50 Tablet, Pain relief,
Inogla-M 500 Tablet SR,Treatment of Type 2 diabetes mellitus,
Ivecop 6 Tablet,Treatment of Parasitic infections,
Itracip 100 Capsule,Treatment of Fungal infections,
Ibugesic AP  Tablet, Pain relief,
Itragen 100 Capsule,Treatment of Fungal infections,
Itratop 200mg Capsule,Treatment of Fungal infections,
Infura 100mg Tablet,Treatment of Bacterial infections of urinary tract,
Itratuf Capsule,Treatment of Fungal infections,
Imograf Forte Lotion,Treatment of Atopic dermatitis,
Indclav Bid 228 Dry Syrup,Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections,
Isryl-M 4 Forte Tablet PR,Treatment of Type 2 diabetes mellitus,
Instaflex AR 200mg/20mg Capsule SR, Pain relief,
Ipravent Rotacaps,Treatment of Chronic obstructive pulmonary disease (COPD),
Ixarola 15mg Tablet,Treatment and prevention of Blood clots,
Ivnex 5gm Infusion, Immunoglobulins deficiency,
Ismigen Tablet, Diseases of respiratory tract,
Itral 1% Ointment,Treatment of Fungal skin infections,
Ibukind Plus 100 mg/162.5 mg Suspension, Pain reliefTreatment of Fever,
Inhipraz 40mg Tablet,Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,
IT Mac 400mg Tablet SR,Treatment of Fungal infections,
IBU-C Tablet, Pain relief,
Isonorm 20 Tablet,Prevention of Angina (heart-related chest pain),
Imidil Dusting Powder,Treatment of Fungal skin infections,
Iladac DSR Capsule PR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,
Isozole- DSR Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia,
Imferon S 20mg Injection, Iron deficiency anemia,
Isotane 10 Capsule,Treatment of Acne,
Insulate-NP Tablet, Neuropathic pain,
Iverscab 12mg Dispersible Tablet,Treatment of Parasitic infections,
Inditel CH 40 Tablet, Hypertension (high blood pressure),
Inditel H 40 Tablet,Treatment of Hypertension (high blood pressure),
Ivabratco 5 Tablet,Treatment of Angina (heart-related chest pain)Treatment of Heart failure,
Inditel D Capsule SR, Hypertension (high blood pressure),
Intalith 300 Tablet, Mania Bipolar disorder,
Itrasys 400 Capsule,Treatment of Fungal infections,
Insulatard 100IU/ml Flexpen, Diabetes,
Insulatard HM 100IU/ml Penfill, Diabetes,
Itralent 100mg Capsule,Treatment of Fungal infections,
Infen Plaster, Pain relief,
Iso Aret 20mg Capsule,Treatment of Acne,
Infa  -VT Ointment, Syndromic treatment of vaginal discharge,
Itaphyte 200 Capsule,Treatment of Fungal infections,
Itrabond 100 Capsule,Treatment of Fungal infections,
Itralent 200 Capsule,Treatment of Fungal infections,
Itral Eye/Ear Drops,Treatment of Fungal infections,
Itrafix 100 Capsule,Treatment of Fungal infections,
Irovel 300 Tablet, Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke,
Inogla Tablet,Treatment of Type 2 diabetes mellitus,
Iycotic Cream, Fungal skin infections,
I-Gesic Eye Drop, Post-operative eye pain and inflammation Pain relief,
Itromed Gel,Treatment of Fungal skin infections,
Iconac MR 8 Tablet,Treatment of Muscular pain,
Inditel 20 Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,
Ivepred 500mg Injection,Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,
Itrafix 100 Capsule,Treatment of Fungal infections,
Intrazole 200 Capsule,Treatment of Fungal infections,
Inosert 25 Tablet,Treatment of DepressionTreatment of Post traumatic stress disorderTreatment of Obsessive-compulsive disorderTreatment of Panic disorderTreatment of Premenstrual dysphoric disorderTreatment of AnxietyTreatment of Premenstrual syndrome (PMS),
Inosert 100 Tablet,Treatment of DepressionTreatment of Post traumatic stress disorderTreatment of Obsessive-compulsive disorderTreatment of Panic disorderTreatment of Premenstrual dysphoric disorderTreatment of AnxietyTreatment of Premenstrual syndrome (PMS),
Iladac L Capsule PR, Constipation,
Inditel CH 80 Tablet, Hypertension (high blood pressure),
Istavel 25mg Tablet,Treatment of Type 2 diabetes mellitus,
Insugen-R 100IU/ml Solution for Injection, Diabetes,
Itrabond 200 Capsule,Treatment of Fungal infections,
Itracoe 200 Capsule,Treatment of Fungal infections,
Isofeel 0.025 Cream,Treatment of Acne Acute promyelocytic leukaemia,
Irivisc Liquigel,Treatment of Dry eyes,
Itrazole 200 Capsule,Treatment of Fungal infections,
Itracoe Gel,Treatment of Fungal skin infections,
Ivazine 5 Tablet,Treatment of Angina (heart-related chest pain)Treatment of Heart failure,
Inogla-M 1000 Tablet SR,Treatment of Type 2 diabetes mellitus,
Isonorm 60 SR Tablet,Prevention of Angina (heart-related chest pain),
Inditel AH 40 Tablet, Hypertension (high blood pressure),
Isomin 20mg Tablet,Prevention of Angina (heart-related chest pain),
Ivermect 12mg Tablet,Treatment of Parasitic infections,
IZ K Soap, Fungal skin infections,
Itaspor Powder,Treatment of Fungal skin infections,
Ilosure 4 Tablet, Schizophrenia Mania,
Ivepred 1000mg Injection,Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,
Isorus Tablet,Treatment of Heart failure,
Intadine 5% Ointment,Treatment and prevention of Wound infection,
Ishape 120mg Capsule, Obesity,
ILet B 2 Tablet PR,Treatment of Type 2 diabetes mellitus,
Indikof LS Syrup Sugar Free,Treatment of Cough with mucus,
Ixarola 20mg Tablet,Treatment and prevention of Blood clots,
Ilapro D Capsule PR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,
Intawin 400 Tablet,Treatment of Fungal infections,
Ibrex-MT Tablet,Treatment of Sneezing and runny nose due to allergies,
Intagesic 50 mg/325 mg Tablet, Pain relief,
Irinotel 100mg Injection, Cancer of colon and rectum,
I-Sure Capsule,Treatment of Acne,
Ibilul Cream,Treatment of Fungal skin infections,
Intrazole 100 Capsule,Treatment of Fungal infections,
Ixza 1000mg Injection, Severe bacterial infections,
Isolor 5 Tablet,Treatment of Allergic conditions,
Itracip 200mg Capsule,Treatment of Fungal infections,
Itraconol 200 Capsule,Treatment of Fungal infections,
Isonise 10mg Capsule,Treatment of Acne,
Immulina Liquid, Diseases of respiratory tract,
Ibvilda M 500 Tablet,Treatment of Type 2 diabetes mellitus,
Insugen 50/50 Injection 100IU/ml, Diabetes,
Itrostred 200 Capsule,Treatment of Fungal infections,
